ID,Date_start_contract,Date_last_renewal,Date_next_renewal,Date_birth,Date_driving_licence,Distribution_channel,Seniority,Policies_in_force,Max_policies,Max_products,Lapse,Date_lapse,Payment,Premium,Cost_claims_year,N_claims_year,N_claims_history,R_Claims_history,Type_risk,Area,Second_driver_flag,Year_matriculation,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Length,Weight,Age
251,2014-12-03,2015-12-03,2016-12-03,1943-07-01,1963-05-03,0,3,1,1,1,0,2016-12-03,0,247.32,0,0,2,1.0,3,0,Yes,2004,64,1896,12706.0,5,D,3.953,1125,82.0643394934976
253,2014-09-12,2017-09-12,2018-09-12,1972-03-31,1999-05-12,1,4,1,1,1,1,2017-09-12,0,275.98,0,0,1,0.33,3,0,No,2007,105,1896,20692.68,5,D,4.28,1405,53.31416837782341
253,2014-09-12,2016-09-12,2017-09-12,1972-03-31,1999-05-12,1,4,1,1,1,0,2017-09-12,0,275.98,0,0,1,0.33,3,0,No,2007,105,1896,20692.68,5,D,4.28,1405,53.31416837782341
256,2015-05-08,2018-05-08,2019-05-08,1991-06-01,2009-10-02,1,4,1,1,1,1,2018-05-08,0,449.9,0,0,0,0.0,3,1,No,2007,110,1560,23540.0,3,D,4.274,1205,34.14647501711157
256,2015-05-08,2016-05-08,2017-05-08,1991-06-01,2009-10-02,1,4,1,1,1,0,2018-05-08,0,452.23,0,0,0,0.0,3,1,No,2007,110,1560,23540.0,3,D,4.274,1205,34.14647501711157
256,2015-05-08,2017-05-08,2018-05-08,1991-06-01,2009-10-02,1,4,1,1,1,0,2018-05-08,0,456.75,0,0,0,0.0,3,1,No,2007,110,1560,23540.0,3,D,4.274,1205,34.14647501711157
259,2012-09-24,2017-09-24,2018-09-24,1955-07-23,1986-06-17,0,6,1,1,1,1,2017-09-24,0,337.5,0,0,4,0.8,3,0,No,1999,72,1998,28074.48,4,D,4.755,1310,70.00410677618069
266,2012-06-29,2018-06-29,2019-06-29,1958-01-25,1984-10-01,1,7,1,1,1,1,2018-06-29,1,341.26,0,0,1,0.17,2,0,No,2002,85,1997,20300.0,5,D,4.749,1755,67.49349760438056
266,2012-06-29,2017-06-29,2018-06-29,1958-01-25,1984-10-01,1,7,1,1,1,0,2018-06-29,1,339.56,0,0,1,0.17,2,0,No,2002,85,1997,20300.0,5,D,4.749,1755,67.49349760438056
267,2015-02-10,2016-02-10,2017-02-10,1959-01-22,1996-08-27,1,2,1,1,1,1,2016-02-10,1,357.43,0,0,0,0.0,3,0,No,2014,70,1198,15517.07,5,P,4.061,974,66.50239561943874
271,2016-12-05,2016-12-05,2017-12-05,1960-03-09,1979-07-01,1,2,1,1,1,0,2017-12-05,0,595.19,0,0,0,0.0,3,1,Yes,2010,150,1798,31800.0,5,D,4.295,1585,65.37440109514031
271,2016-12-05,2017-12-05,2018-12-05,1960-03-09,1979-07-01,1,2,1,1,1,1,2017-12-05,0,607.1,0,0,0,0.0,3,1,Yes,2010,150,1798,31800.0,5,D,4.295,1585,65.37440109514031
273,2012-01-12,2016-01-12,2017-01-12,1963-07-02,1985-12-01,1,6,1,1,1,0,2017-01-12,0,292.17,0,0,0,0.0,2,1,No,2005,94,2476,15416.0,5,D,4.82,1689,62.06160164271047
273,2012-01-12,2017-01-12,2018-01-12,1963-07-02,1985-12-01,1,6,1,1,1,1,2017-01-12,0,296.56,0,0,0,0.0,2,1,No,2005,94,2476,15416.0,5,D,4.82,1689,62.06160164271047
274,2010-10-07,2016-10-07,2017-10-07,1964-02-27,1983-03-01,1,7,1,3,1,1,2016-10-07,1,307.06,0,0,13,2.16,3,1,No,2002,112,1991,14700.0,5,D,4.495,1357,61.40451745379877
279,2016-02-02,2018-02-02,2019-02-02,1968-11-17,1990-10-01,1,3,1,1,1,1,2018-02-02,0,449.45,0,0,2,1.0,3,1,No,2006,110,1560,23750.0,5,D,4.276,1318,56.681724845995895
280,2013-11-12,2015-11-12,2016-11-12,1968-06-23,1989-05-01,0,9,2,2,1,1,2015-11-12,0,349.89,0,0,6,2.0,3,1,Yes,1999,90,1997,19379.0,5,D,4.188,1200,57.08418891170431
283,2015-09-11,2016-09-11,2017-09-11,1968-03-14,1986-12-31,1,2,1,1,1,1,2016-09-11,0,289.56,0,0,0,0.0,3,0,No,2010,85,1390,16000.0,5,P,4.315,1205,57.360711841204655
287,2015-10-02,2016-10-02,2017-10-02,1971-07-02,1990-05-01,0,4,1,2,1,0,2017-10-02,1,283.51,0,0,2,0.0,3,1,No,2015,90,1396,18950.54,5,D,4.31,1365,54.06160164271047
287,2015-10-02,2017-10-02,2018-10-02,1971-07-02,1990-05-01,0,4,1,2,1,1,2017-10-02,1,299.53,0,0,2,0.0,3,1,No,2015,90,1396,18950.54,5,D,4.31,1365,54.06160164271047
289,2015-09-17,2017-09-17,2018-09-17,1972-02-29,1992-06-26,1,3,1,1,1,1,2017-09-17,1,351.07,0,0,1,0.5,3,0,No,2003,83,1399,10150.0,5,P,3.88,995,53.399041752224505
290,2011-05-04,2016-05-04,2017-05-04,1974-03-05,2001-11-22,0,16,1,2,1,1,2016-05-04,1,310.06,0,0,3,0.0,3,0,No,2010,70,1398,16270.0,5,D,3.85,1022,51.38672142368241
291,2014-04-10,2017-04-10,2018-04-10,1976-03-14,2001-11-05,1,4,1,1,1,1,2017-04-10,0,352.76,0,0,1,0.33,3,0,No,2006,130,1910,19295.0,5,D,4.03,1205,49.360711841204655
291,2014-04-10,2016-04-10,2017-04-10,1976-03-14,2001-11-05,1,4,1,1,1,0,2017-04-10,0,345.85,0,0,1,0.33,3,0,No,2006,130,1910,19295.0,5,D,4.03,1205,49.360711841204655
295,2017-06-02,2018-06-02,2019-06-02,1977-03-09,1997-07-01,1,2,1,1,1,1,2018-06-02,0,237.83,0,0,0,0.0,3,1,No,2009,110,1560,27940.0,5,D,4.365,1350,48.375085557837096
295,2017-06-02,2017-06-02,2018-06-02,1977-03-09,1997-07-01,1,2,1,1,1,0,2018-06-02,0,232.01,0,0,0,0.0,3,1,No,2009,110,1560,27940.0,5,D,4.365,1350,48.375085557837096
297,2017-01-18,2018-01-18,2019-01-18,1975-08-14,2008-10-01,0,2,1,1,1,1,2018-01-18,0,335.4,0,0,2,2.0,2,0,Yes,2016,100,1560,24235.01,5,D,4.384,1374,49.94387405886379
298,2016-02-26,2017-02-26,2018-02-26,1985-04-05,2003-04-15,0,2,1,1,1,1,2017-07-04,1,463.61,0,0,1,0.74,3,0,No,2003,130,1896,16411.0,3,D,3.953,1192,40.30116358658453
303,2014-03-14,2017-03-14,2018-03-14,1940-04-14,1964-05-11,1,4,1,2,1,1,2017-03-14,0,453.66,0,0,4,0.0,2,1,No,2007,115,1995,27350.0,5,D,5.182,1724,85.27583846680356
303,2014-03-14,2016-03-14,2017-03-14,1940-04-14,1964-05-11,1,4,1,2,1,0,2017-03-14,0,451.41,0,0,4,0.0,2,1,No,2007,115,1995,27350.0,5,D,5.182,1724,85.27583846680356
305,2016-05-19,2016-05-19,2017-05-19,1958-09-02,1976-11-05,1,1,1,1,1,1,2016-11-19,1,529.54,0,0,0,0.0,3,1,Yes,2006,110,1560,25390.0,4,D,4.676,1437,66.89117043121149
308,2015-11-30,2017-11-30,2018-11-30,1982-06-29,2003-10-30,1,3,1,1,1,1,2017-11-30,0,295.75,0,0,1,0.5,3,0,No,2010,70,1398,15717.0,5,D,3.85,947,43.069130732375086
308,2015-11-30,2016-11-30,2017-11-30,1982-06-29,2003-10-30,1,3,1,1,1,0,2017-11-30,0,272.59,0,0,1,0.5,3,0,No,2010,70,1398,15717.0,5,D,3.85,947,43.069130732375086
313,2000-08-29,2016-03-06,2017-03-06,1954-04-23,1973-03-30,1,17,3,4,1,2,2016-03-06,0,254.9,0,0,5,0.13,3,0,No,2000,100,1596,16060.0,3,P,4.342,1242,71.25256673511294
314,2007-01-25,2016-01-25,2017-01-25,1954-04-23,1973-03-30,1,17,3,4,1,3,2016-01-25,0,333.46,0,0,5,0.33,3,0,No,2000,100,1399,13110.0,3,P,3.916,1068,71.25256673511294
315,2007-02-16,2017-02-16,2018-02-16,1970-10-25,1990-06-20,0,14,1,2,1,1,2017-02-16,0,187.69,0,0,1,0.0,3,0,No,2007,86,1461,14500.0,5,D,3.734,1061,54.7460643394935
315,2007-02-16,2016-02-16,2017-02-16,1970-10-25,1990-06-20,0,14,1,2,1,0,2017-02-16,0,181.34,0,0,1,0.0,3,0,No,2007,86,1461,14500.0,5,D,3.734,1061,54.7460643394935
317,2006-04-28,2016-04-28,2017-04-28,1980-05-27,1998-11-24,1,16,1,2,1,1,2016-04-28,0,282.75,0,0,7,0.4,3,1,No,2005,90,1560,14850.0,5,D,3.916,1053,45.158110882956876
319,2015-04-16,2016-04-16,2017-04-16,1942-10-19,1993-04-05,0,2,1,1,1,1,2016-04-16,0,481.35,0,0,1,1.0,3,0,No,1999,100,1596,12561.15,5,P,4.174,1077,82.7624914442163
320,2016-09-30,2017-09-30,2018-09-30,1940-07-01,1982-04-01,0,2,1,1,1,1,2017-09-30,0,237.63,0,0,5,3.0,3,1,No,1999,75,1349,9772.46,5,P,4.074,1081,85.06228610540725
329,2006-02-22,2017-02-22,2018-02-22,1941-02-14,1960-01-19,0,12,1,1,1,1,2017-02-22,0,266.56,0,0,1,0.09,2,0,No,2000,65,1870,13011.91,5,D,3.995,1100,84.43805612594113
331,2013-11-04,2016-11-04,2017-11-04,1946-07-01,1977-01-12,1,4,1,1,1,1,2016-11-04,0,256.99,0,0,0,0.0,3,1,No,2002,51,796,7600.0,5,P,3.495,776,79.06365503080082
331,2013-11-04,2015-11-04,2016-11-04,1946-07-01,1977-01-12,1,4,1,1,1,0,2016-11-04,0,234.69,0,0,0,0.0,3,1,No,2002,51,796,7600.0,5,P,3.495,776,79.06365503080082
